,contact_id,since_date,order_number,plan,transaction_date,section_name,row_name,first_seat,last_seat,num_seats,FSE,plan_base_price,pricecode,section_listing,eventcode,tickettypesid,sales_rep,9%
6077,15836138,4/8/2022,1999401-1,Full Season,4/28/2022,103,Y,7,8,2,2.0,6552,EPN,Center Ice Top 8,FS22,New PH Full Season,Andrei Svechnikov,7141.68
6078,16650315,4/28/2022,1999402-1,Full Season,4/28/2022,111,S,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Alexander Nikishin,4028.6400000000003
6079,14802899,4/18/2022,1999403-1,Full Season,4/28/2022,102,E,3,6,4,4.0,16800,FFN,Sideline Preferred,FS22,New Full Season,Andrei Svechnikov,18312.0
6080,9675706,4/26/2022,1999404-1,Full Season,4/28/2022,218,B,15,16,2,2.0,7644,SFN,Club Select,FS22,New Full Season,Michael Jordan,8331.960000000001
6081,13353420,4/25/2022,1999407-1,Full Season,4/28/2022,206,B,1,4,4,4.0,11256,SPN,Club Select,FS22,New PH Full Season,Jaccob Slavin,12269.04
6082,735905,4/26/2022,1999408-1,Full Season,4/28/2022,315,G,16,17,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Andrei Svechnikov,1922.7600000000002
6083,10650560,3/30/2022,1999410-1,Full Season,4/28/2022,116,N,6,9,4,4.0,13776,GFN,Sideline  ,FS22,New Full Season,Frederik Andersen,15015.840000000002
6084,16630126,4/20/2022,1999419-1,Full Season,4/28/2022,219,B,3,4,2,2.0,5628,SPN,Club Select,FS22,New PH Full Season,Brady Skjei,6134.52
6085,16324596,4/18/2022,1999420-1,Full Season,4/28/2022,108,R,5,5,1,1.0,1848,KPN,Lower Level North,FS22,New PH Full Season,Brady Skjei,2014.3200000000002
6086,7903834,4/19/2022,1999421-1,Full Season,4/28/2022,202,B,9,12,4,4.0,11256,SPN,Club Select,FS22,New PH Full Season,Andrei Svechnikov,12269.04
6087,6400796,4/7/2022,1999425-1,Full Season,4/28/2022,301,G,12,12,1,1.0,1050,XPN,Terrace Value,FS22,New PH Full Season,Brady Skjei,1144.5
6088,15846074,4/13/2022,1999426-1,Full Season,4/28/2022,125,Z,14,15,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Wayne Gretzky,6134.52
6089,10649419,4/20/2022,1999429-1,Full Season,4/28/2022,118,XX,1,4,4,4.0,13104,EPN,Center Ice Top 8,FS22,New PH Full Season,Domenik Bokk,14283.36
6090,7463872,4/11/2022,1999430-1,Full Season,4/28/2022,110,Y,10,11,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Andrei Svechnikov,4028.6400000000003
6091,14870304,2/23/2021,1999431-1,Full Season,4/28/2022,115,XX,6,7,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Andrei Svechnikov,4028.6400000000003
6092,14705338,3/18/2022,1999434-1,Full Season,4/28/2022,319,E,11,12,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Jesperi Kotkaniemi,1922.7600000000002
6093,16591287,4/13/2022,1999435-1,Full Season,4/28/2022,226,C,12,13,2,2.0,10164,PFN,Club Ledge,FS22,New Full Season,Domenik Bokk,11078.76
6094,11909320,4/4/2022,1999436-1,Full Season,4/28/2022,118,WW,1,2,2,2.0,6552,EPN,Center Ice Top 8,FS22,New PH Full Season,Alexander Nikishin,7141.68
6095,12641790,4/22/2022,1999438-1,Full Season,4/27/2022,338,B,6,7,2,2.0,2100,XPN,Terrace Value,FS22,New PH Full Season,Jesperi Kotkaniemi,2289.0
6096,2701121,3/30/2022,1999440-1,Full Season,4/28/2022,123,Z,15,16,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Brett Pesce,6134.52
6097,6274344,4/28/2022,1999442-1,Full Season,4/28/2022,121,F,3,4,2,2.0,8400,FFN,Sideline Preferred,FS22,New Full Season,Brady Skjei,9156.0
6098,14475975,3/31/2022,1999443-1,Full Season,4/28/2022,318,E,1,2,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Alexander Nikishin,1922.7600000000002
6099,10405772,4/26/2022,1999445-1,Full Season,4/26/2022,108,V,12,12,1,1.0,1848,KPN,Lower Level North,FS22,New PH Full Season,Jesper Fast,2014.3200000000002
6100,16060892,4/1/2022,1999448-1,Full Season,4/28/2022,112,Z,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Jimmy Butler,4028.6400000000003
6101,16602155,4/10/2022,1999449-1,Full Season,4/28/2022,322,A,19,20,2,2.0,5208,TFN,Mezzanine,FS22,New Full Season,Alexander Nikishin,5676.72
6102,10269232,4/8/2022,1999450-1,Full Season,4/28/2022,111,X,10,11,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Andrei Svechnikov,4028.6400000000003
6103,15219054,3/31/2022,1999453-1,Full Season,4/28/2022,118,Y,11,12,2,2.0,6552,EPN,Center Ice Top 8,FS22,New PH Full Season,Paul Stastny,7141.68
6104,9837248,4/4/2022,1999458-1,Full Season,4/28/2022,109,T,9,12,4,4.0,7392,KPN,Lower Level North,FS22,New PH Full Season,Dominique Wilkins,8057.280000000001
6105,16512002,3/30/2022,1999459-1,Full Season,4/28/2022,118,C,1,2,2,2.0,9996,DFN,Center Ice  ,FS22,New Full Season,Michael Jordan,10895.640000000001
